# common-definitions.url: git@github.com:IAMconsortium/common-definitions
# common-definitions.commit_hash: 7e32405ade790677a6022ff498395bff00d9792d
# common-definitions.commit_timestamp: 2025-10-20 10:42:13
variable,description,unit,tier,Internal_variable,Status,comments.answers,navigate,engage,notes,lower_bound,note,range,region.aggregation,check.aggregate,skip.region.aggregation,sdg,weight,min,components,shape,agmip,ngfs5
Final Energy|Transportation|Freight|Gases|Hydrogen,Final energy consumption by the freight transportation sector excluding international aviation and shipping of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Gases|Other,Final energy consumption by the freight transportation sector excluding international aviation and shipping of gaseous fuels from sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Biomass,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from biomass, including biogas",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Coal,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Electricity,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from electricity,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Fossil,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from fossil fuels including natural gas, oil and coal",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Gas,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Geothermal,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from geothermal energy excluding ground-source heat pumps,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Hydrogen,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from hydrogen,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Nuclear,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from nuclear energy,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Oil,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from refined crude oil,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Other,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Heat|Solar,Final energy consumption by the freight transportation sector excluding international aviation and shipping of centralized heat from solar energy,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Biomass,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen generated from biomass,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Coal,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Electricity,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from electrolysis,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Fossil,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from fossil fuels including natural gas, oil and coal",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Gas,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Nuclear,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Oil,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from refined crude oil,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Other,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from other sources,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Hydrogen|Solar,Final energy consumption by the freight transportation sector excluding international aviation and shipping of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Biomass,Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid fuels from biomass,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Coal,Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid fuels from coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Electricity,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product)",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Fossil,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Gas,Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid fuels from fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Hydrogen,Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Oil,Final energy consumption by the freight transportation sector excluding international aviation and shipping of liquid fuels from refined crude oil,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Other,Final energy consumption by the freight transportation sector excluding international aviation and shipping of sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Other,Final energy consumption by the freight transportation sector excluding international aviation and shipping of other energy sources,EJ/yr,3,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Solids,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of solid energy carriers, including coal, briquettes, coke, and wood pellets",EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Solids|Biomass,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of solid biomass (e.g., commercial charcoal, wood chips, wood pellets)",EJ/yr,3,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Freight|Solids|Coal,"Final energy consumption by the freight transportation sector excluding international aviation and shipping of coal, lignite, and derived products (e.g., coke, briquettes)",EJ/yr,3,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gaseous fuels including natural gas and biogas, not including hydrogen",EJ/yr,1,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Biomass,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gaseous fuels from biogenic sources, mainly biogas",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Coal,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gaseous fuels from fossil coal gasification,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Electricity,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product)",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Fossil,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gaseous fuels from fossil fuels including natural gas and coal,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Gas,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of fossil methane ('natural gas'),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Hydrogen,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Gases|Other,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of gaseous fuels from sources that do not fit any other category,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat,EJ/yr,1,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Biomass,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from biomass, including biogas",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Coal,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from coal,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Electricity,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from electricity,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Fossil,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from fossil fuels including natural gas, oil and coal",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Gas,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from fossil methane ('natural gas'),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Geothermal,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from geothermal energy excluding ground-source heat pumps,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Hydrogen,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from hydrogen,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Nuclear,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from nuclear energy,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Oil,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from refined crude oil,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Other,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from sources that do not fit any other category,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Heat|Solar,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of centralized heat from solar energy,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen,EJ/yr,1,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Biomass,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen generated from biomass,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Coal,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from coal,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Electricity,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from electrolysis,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Fossil,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from fossil fuels including natural gas, oil and coal",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Gas,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from fossil methane ('natural gas'),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Nuclear,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Oil,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from refined crude oil,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Other,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from other sources,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Hydrogen|Solar,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle,Final energy consumption by the transportation sector with light-duty vehicles,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Electricity,Final energy consumption by the transportation sector with light-duty vehicles of electricity,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases,"Final energy consumption by the transportation sector with light-duty vehicles of gaseous fuels including natural gas and biogas, not including hydrogen",EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Biomass,"Final energy consumption by the transportation sector with light-duty vehicles of gaseous fuels from biogenic sources, mainly biogas",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Coal,Final energy consumption by the transportation sector with light-duty vehicles of gaseous fuels from fossil coal gasification,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Electricity,"Final energy consumption by the transportation sector with light-duty vehicles of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product)",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Fossil,Final energy consumption by the transportation sector with light-duty vehicles of gaseous fuels from fossil fuels including natural gas and coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Gas,Final energy consumption by the transportation sector with light-duty vehicles of fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Hydrogen,Final energy consumption by the transportation sector with light-duty vehicles of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Gases|Other,Final energy consumption by the transportation sector with light-duty vehicles of gaseous fuels from sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Biomass,"Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from biomass, including biogas",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Coal,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Electricity,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from electricity,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Fossil,"Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from fossil fuels including natural gas, oil and coal",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Gas,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Geothermal,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from geothermal energy excluding ground-source heat pumps,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Hydrogen,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from hydrogen,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Nuclear,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from nuclear energy,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Oil,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from refined crude oil,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Other,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Heat|Solar,Final energy consumption by the transportation sector with light-duty vehicles of centralized heat from solar energy,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Biomass,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen generated from biomass,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Coal,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Electricity,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from electrolysis,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Fossil,"Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from fossil fuels including natural gas, oil and coal",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Gas,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Nuclear,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Oil,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from refined crude oil,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Other,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from other sources,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Hydrogen|Solar,Final energy consumption by the transportation sector with light-duty vehicles of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids,"Final energy consumption by the transportation sector with light-duty vehicles of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels",EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Biomass,Final energy consumption by the transportation sector with light-duty vehicles of liquid fuels from biomass,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Coal,Final energy consumption by the transportation sector with light-duty vehicles of liquid fuels from coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Electricity,"Final energy consumption by the transportation sector with light-duty vehicles of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product)",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Fossil,"Final energy consumption by the transportation sector with light-duty vehicles of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Gas,Final energy consumption by the transportation sector with light-duty vehicles of liquid fuels from fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Hydrogen,Final energy consumption by the transportation sector with light-duty vehicles of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Oil,Final energy consumption by the transportation sector with light-duty vehicles of liquid fuels from refined crude oil,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Liquids|Other,Final energy consumption by the transportation sector with light-duty vehicles of sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Other,Final energy consumption by the transportation sector with light-duty vehicles of other energy sources,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Solids,"Final energy consumption by the transportation sector with light-duty vehicles of solid energy carriers, including coal, briquettes, coke, and wood pellets",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Solids|Biomass,"Final energy consumption by the transportation sector with light-duty vehicles of solid biomass (e.g., commercial charcoal, wood chips, wood pellets)",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Light-Duty Vehicle|Solids|Coal,"Final energy consumption by the transportation sector with light-duty vehicles of coal, lignite, and derived products (e.g., coke, briquettes)",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels",EJ/yr,1,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Biomass,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid fuels from biomass,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Coal,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid fuels from coal,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Electricity,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product)",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Fossil,"Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil",EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Gas,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid fuels from fossil methane ('natural gas'),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Hydrogen,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Oil,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of liquid fuels from refined crude oil,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Liquids|Other,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of sources that do not fit any other category,EJ/yr,2,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Other,Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers') of other energy sources,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger,Final energy consumption by the passenger transportation sector excluding international aviation and shipping,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Electricity,Final energy consumption by the passenger transportation sector excluding international aviation and shipping of electricity,EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases,"Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gaseous fuels including natural gas and biogas, not including hydrogen",EJ/yr,2,fe_sector_clean,done,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Biomass,"Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gaseous fuels from biogenic sources, mainly biogas",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Coal,Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gaseous fuels from fossil coal gasification,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Electricity,"Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product)",EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Fossil,Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gaseous fuels from fossil fuels including natural gas and coal,EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Gas,Final energy consumption by the passenger transportation sector excluding international aviation and shipping of fossil methane ('natural gas'),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Hydrogen,Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),EJ/yr,3,,,,,,,,,,,,,,,,,,,
Final Energy|Transportation|Passenger|Gases|Other,Final energy consumption by the passenger transportation sector excluding international aviation and shipping of gaseous fuels from sources that do not fit any other category,EJ/yr,3,,,,,,,,,,,,,,,,,,,
